ticker,company,date,movement,headline
AMZN,Amazoncom Inc,20190306,-28.6,Amazon to close all 87 U.S. pop-up stores - WSJ 
AMZN,Amazoncom Inc,20190306,-28.6,Exclusive: Mexican central bank in talks with Amazon about new mobile payments 
AMZN,Amazoncom Inc,20190305,-6.98,Kohl's profit view beats forecast as tie-ups  new items lure shoppers 
AMZN,Amazoncom Inc,20190305,-6.98,UPDATE 2-Kohl's profit view beats forecast as tie-ups  new items lure shoppers 
AMZN,Amazoncom Inc,20190305,-6.98,German court upholds Amazon bid to limit paid reviews 
AMZN,Amazoncom Inc,20190305,-6.98,German court upholds Amazon bid to limit paid reviews 
AMZN,Amazoncom Inc,20190228,19.88,UPDATE 3-Zalando back in style as it bids to be Netflix of fashion 
AMZN,Amazoncom Inc,20190228,19.88,Nikkei falls as U.S.-China trade hopes recede; factory woes deepen 
AMZN,Amazoncom Inc,20190227,7.07,Amazon  Comcast  Electronic Arts submit bids for Nexon holding firm-Maeil report 
AMZN,Amazoncom Inc,20190227,7.07,UPDATE 1-Amazon  Comcast  Electronic Arts submit bids for Nexon holding firm-Maeil report 
AMZN,Amazoncom Inc,20190227,7.07,Peru to fix oil pipeline after deal with indigenous community 
AMZN,Amazoncom Inc,20190227,7.07,Peru to fix oil pipeline after deal with indigenous community 
AMZN,Amazoncom Inc,20190227,7.07,FedEx partners with Walmart  Pizza Hut to test last-mile delivery robot 
AMZN,Amazoncom Inc,20190227,7.07,Amazon  Comcast  Electronic Arts submit bids for Nexon holding firm-Maeil report 
AMZN,Amazoncom Inc,20190226,2.2,Walmart seeks ad business boost in fight with Amazon 
AMZN,Amazoncom Inc,20190226,2.2,UPDATE 1-Walmart seeks ad business boost in fight with Amazon 
AMZN,Amazoncom Inc,20190226,2.2,UPDATE 4-Macy's will cut 100 senior jobs in restructuring to save $100 mln annually 
AMZN,Amazoncom Inc,20190226,2.2,Amazon to offer more than 1 000 apprenticeships in Britain 
AMZN,Amazoncom Inc,20190226,2.2,Amazon to offer more than 1 000 apprenticeships in Britain 
AMZN,Amazoncom Inc,20190225,-15.47,Amazon adds former PepsiCo CEO Indra Nooyi to board 
AMZN,Amazoncom Inc,20190225,-15.47,UPDATE 2-Amazon adds former PepsiCo CEO Indra Nooyi to board 
AMZN,Amazoncom Inc,20190225,-15.47,Amazon appoints Indra Nooyi to board 
AMZN,Amazoncom Inc,20190225,-15.47,Two bodies recovered after Amazon cargo plane crashes into Texas bay 
AMZN,Amazoncom Inc,20190225,-15.47,UPDATE 1-Two bodies recovered after Amazon cargo plane crashes into Texas bay 
AMZN,Amazoncom Inc,20190225,-15.47,Two bodies recovered after Amazon cargo plane crashes into Texas bay 
AMZN,Amazoncom Inc,20190221,3.65,Judge questions whether Amazon  Berkshire  JPMorgan health venture is an Optum competitor 
AMZN,Amazoncom Inc,20190221,3.65,Google's new cloud boss has big task to catch rivals  Reuters data show 
AMZN,Amazoncom Inc,20190221,3.65,REFILE-FOCUS-Google's new cloud boss has big task to catch rivals  Reuters data show 
AMZN,Amazoncom Inc,20190220,-10.15,PRESS DIGEST - Wall Street Journal - Feb 20 
AMZN,Amazoncom Inc,20190219,29.0,US STOCKS-Wall St edges higher on Amazon  Walmart gains; trade talks in focus 
AMZN,Amazoncom Inc,20190219,29.0,Amazon's China unit in merger talks with NetEase's Kaola: report 
